chromosome	start	end	gene	log2	baf	cn	cn1	cn2	depth	probes	weight	sem	ci_lo	ci_hi	pi_lo	pi_hi
chr1	7743180	7789003	CAMTA1,VAMP3,PER3	0.197558	0.419355	2	1	1	39.4556	62	54.5963	0.0337145	0.129522	0.27426	-0.332076	0.74187
chr1	7789003	7952558	PER3,UTS2,TNFRSF9	-0.193128	0.391304	2	1	1	30.2152	232	200.888	0.017893	-0.219416	-0.161652	-0.694983	0.298778
chr1	7953263	8917675	PARK7,ERRFI1,LINC01714,-,SLC45A1,SLC45A1,RERE,RERE,RERE,ENO1,ENO1-AS1	0.406893	0.428571	3	2	1	48.7147	1331	1081.76	0.00965796	0.385287	0.429995	-0.252609	1.14009
chr1	8917675	8973368	CA6	-0.331452	0.388889	1	1	0	28.2082	79	63.5509	0.0336692	-0.394215	-0.276936	-0.958767	0.14279
chr1	8973368	9468263	CA6,SLC2A7,SLC2A5,GPR157,MIR34AHG,LNCTAM34A,H6PD,SPSB1,LINC02606	0.00362575	0.413793	2	1	1	34.1055	687	574.527	0.0135539	-0.0314096	0.026021	-0.608159	0.837065
chr1	9468263	9769289	SLC25A33,TMEM201,PIK3CD,CLSTN1	-0.182711	0.405828	2	1	1	31.1107	419	343.741	0.0147126	-0.206208	-0.162239	-0.759869	0.365752
chr1	9769289	9963863	CLSTN1,CTNNBIP1,LZIC,NMNAT1	0.0138986	0.4	2	1	1	36.1819	267	207.251	0.0187633	-0.0254325	0.0484192	-0.587157	0.540326
chr1	9963863	10020261	NMNAT1,RBP7	-0.293815	0.409091	1	1	0	30.606	76	57.6727	0.029774	-0.351767	-0.237134	-0.843613	0.22322
chr1	10020261	10810543	UBE4B,KIF1B,PGD,CENPS-CORT,DFFA,PEX14,CASZ1	0.0351572	0.40625	2	1	1	35.3432	1095	900.707	0.00923123	0.0135785	0.0525223	-0.492669	0.677494
chr1	10810543	10857776	-	-0.26554	0.372685	1	1	0	26.5468	66	55.281	0.0332299	-0.320094	-0.212284	-0.762908	0.262617
chr1	10857776	10913470	-	0.0934191	0.428571	2	1	1	37.5954	76	61.9731	0.0503795	-0.0304151	0.209578	-0.452657	0.917205
chr1	10913470	11781299	C1orf127,TARDBP,MASP2,SRM,EXOSC10,EXOSC10-AS1,MTOR,UBIAD1,UBIAD1,DISP3,LINC01647,FBXO2,FBXO44,FBXO6,MAD2L2,DRAXIN,AGTRAP,C1orf167	-0.263172	0.354839	1	1	0	27.57	1197	952.202	0.0106409	-0.277938	-0.243729	-0.958909	0.498441
chr1	11781299	11818663	C1orf167,MTHFR,CLCN6	0.394555	0.604348	3	2	1	46.4486	51	44.864	0.0540075	0.299415	0.513813	-0.199152	1.31217
chr1	11818663	12005482	CLCN6,NPPA-AS1,NPPB,RNU5E-1,KIAA2013,PLOD1,MFN2	0.00863342	0.4	2	1	1	34.7342	258	208.392	0.0217257	-0.040057	0.0528513	-0.568424	0.716453
chr1	12005482	12025926	MFN2,MIIP	0.399535	0.424242	3	2	1	48.9023	26	19.9281	0.0590114	0.281804	0.51631	-0.0342231	0.975579
chr1	12025926	12124623	MIIP,TNFRSF8	-0.201287	0.391304	2	1	1	29.6994	139	116.871	0.0306609	-0.243514	-0.140856	-0.774844	0.46531
chr1	12124623	12185957	TNFRSF8,TNFRSF1B	0.654534	0.433962	3	2	1	58.0477	83	68.0158	0.0366924	0.588005	0.724261	0.181041	1.4602
chr1	12185957	12214156	TNFRSF1B	0.0173491	0.599846	2	1	1	34.0752	40	35.9595	0.0382595	-0.0462745	0.078055	-0.29324	0.616696
chr1	12214156	12226140	-	-0.414094	0.367003	1	1	0	25.5379	17	14.2826	0.0674692	-0.521028	-0.281092	-0.865811	0.0936857
chr1	12226140	12623748	VPS13D,VPS13D,DHRS3	0.264905	0.42265	3	2	1	41.2754	551	474.335	0.0137887	0.234541	0.292931	-0.364783	0.962753
chr1	12623748	12702706	AADACL4,-	-0.241256	0.391304	2	1	1	27.8534	110	91.7924	0.0274291	-0.281621	-0.186612	-0.884596	0.230834
chr1	12702706	12718216	AADACL3	0.109819	0.407407	2	1	1	33.3804	22	19.3857	0.0329232	0.045234	0.179881	-0.130884	0.374135
chr1	12718216	13078404	AADACL3,C1orf158,PRAMEF12,PRAMEF1,LINC01784,PRAMEF11,HNRNPCL1,PRAMEF2,PRAMEF4,PRAMEF10,PRAMEF7,PRAMEF6,PRAMEF27,HNRNPCL3,PRAMEF26	-0.484073	0	1	1	0	22.7347	412	325.46	0.0176497	-0.5216	-0.458829	-1.20099	0.0972641
chr1	13078404	13098143	PRAMEF36P	0.0753861		2			36.1149	28	22.963	0.05031	-0.0179376	0.172185	-0.364371	0.561636
chr1	13098143	13129161	PRAMEF36P,HNRNPCL2	-0.385546	0.304348	1	1	0	24.1425	44	39.5779	0.0370232	-0.452616	-0.294268	-0.783375	0.0825042
chr1	13129161	13148195	PRAMEF36P	0.0494556		2			35.4099	27	23.4409	0.0393878	-0.0330416	0.126712	-0.250882	0.476129
chr1	13148195	13696650	PRAMEF25,HNRNPCL3,PRAMEF27,PRAMEF13,PRAMEF18,PRAMEF5,PRAMEF8,PRAMEF33,PRAMEF15,PRAMEF14,PRAMEF19,PRAMEF17,PRAMEF20,LRRC38,PDPN	-0.427144	0.3125	1	1	0	24.665	717	580.749	0.0134841	-0.455279	-0.403941	-1.21097	0.195302
chr1	13696650	13810148	PRDM2	0.0767629	0.589572	2	1	1	34.9999	160	141.325	0.0204277	0.0393124	0.112018	-0.40454	0.571757
chr1	13810148	14875337	PRDM2,KAZN-AS1,KAZN	-0.321952	0.26087	1	1	0	24.5064	1474	1185.57	0.00814927	-0.33913	-0.308132	-0.924169	0.226188
chr1	14875337	15030427	KAZN	0.419186	0.435133	3	2	1	47.4125	212	175.698	0.0208747	0.373396	0.464289	-0.167166	1.01828
chr1	15030427	15152385	KAZN,TMEM51-AS1	-0.0566553	0.423077	2	1	1	30.9806	172	141.459	0.0250586	-0.103432	-0.0185294	-0.635652	0.600268
chr1	15152385	15265178	TMEM51-AS1,TMEM51,FHAD1	0.18874	0.410256	2	1	1	36.1926	160	134.615	0.026072	0.151611	0.244033	-0.371266	0.934128
chr1	15265178	15592278	FHAD1,EFHD2,CTRC,CELA2A,CELA2B,CASP9,DNAJC16,AGMAT	-0.00104445	0.407935	2	1	1	33.7658	455	382.21	0.0147266	-0.0294063	0.0202806	-0.623625	0.646357
chr1	15592278	16094206	DDI2,PLEKHM2,SLC25A34,SLC25A34-AS1,FBLIM1,UQCRHL,FLJ37453,SPEN,ZBTB17,SRARP,HSPB7,CLCNKA,CLCNKB,FAM131C	0.258507	0.413043	3	2	1	43.7525	678	531.124	0.0125823	0.235645	0.283205	-0.304836	0.996393
chr1	16094206	16119585	-	-0.170297	0.4	2	1	1	29.2093	36	30.7329	0.0360056	-0.231366	-0.103619	-0.522172	0.163902
chr1	16119585	16254231	EPHA2,ARHGEF19,CPLANE2,FBXO42	0.356687	0.564103	3	2	1	44.6023	186	153.131	0.0273891	0.306262	0.424064	-0.295958	1.08255
chr1	16254231	16345171	FBXO42	0.00446619	0.412779	2	1	1	37.3245	124	95.8306	0.0207336	-0.0334175	0.0483334	-0.448481	0.482667
chr1	16345876	16395928	FBXO42,SZRD1	0.343161	0.576271	3	2	1	47.3669	68	46.1671	0.0378611	0.280908	0.409893	-0.206165	0.910689
chr1	16395928	16427651	SZRD1,SPATA21	-0.342905	0	1	1	0	27.6504	44	37.5859	0.0415328	-0.403449	-0.265153	-0.838594	0.152817
chr1	16427651	16475588	SPATA21,NECAP2,LINC01772,CROCCP3	0.044454	0.404545	2	1	1	35.3554	68	55.7548	0.0373361	-0.0109875	0.109966	-0.391332	0.515475
chr1	16475588	16494621	CROCCP3	-0.333853	0.391304	1	1	0	28.6392	27	22.0414	0.0361297	-0.398704	-0.26833	-0.795002	-0.10268
chr1	16494621	16758980	RNU1-3,LINC01783,MIR3675,NBPF1,CROCCP2,MST1P2,ESPNP,MST1L	0.289751	0.275968	3	2	1	45.815	275	212.458	0.0211023	0.261695	0.329587	-0.342049	1.0389
chr1	16758980	16849867	MST1L	-0.14772	0.338095	2	1	1	26.9484	54	39.4965	0.0519859	-0.240667	-0.0432141	-1.10649	0.456986
chr1	16849867	17143852	MIR3675,LOC112267871,LOC105376805,CROCC,MFAP2,ATP13A2,SDHB,PADI2	0.133973	0.342105	2	1	1	39.8363	385	298.663	0.0205281	0.0951976	0.175628	-0.632202	1.03903
chr1	17143852	17406816	-,LINC02783,PADI1,PADI3,PADI4,PADI6,RCC2	-0.277049	0.375	1	1	0	26.5695	370	310.469	0.0155338	-0.305712	-0.253379	-0.871221	0.258776
chr1	17406816	17442771	RCC2	0.155387	0.428571	2	1	1	38.2901	50	42.7696	0.0494353	0.067904	0.259126	-0.588549	0.920335
chr1	17442771	17558391	ARHGEF10L	-0.247425	0.382784	2	1	1	30.5594	157	119.297	0.0213994	-0.279381	-0.206644	-0.755953	0.228654
chr1	17558391	17600691	ARHGEF10L	0.202488	0.416667	3	2	1	38.1494	60	54.2993	0.0365545	0.126086	0.251975	-0.37668	0.681332
chr1	17600691	18890839	ARHGEF10L,ARHGEF10L,ACTL8,LINC01654,IGSF21,KLHDC7A,PAX7,TAS1R2,ALDH4A1	-0.380025	0	1	1	0	22.9025	1786	1337.76	0.00851069	-0.391136	-0.364917	-0.97715	0.304661
chr1	18890839	18968389	ALDH4A1,IFFO2	0.413939	0.561738	3	2	1	44.7475	107	95.4376	0.0333697	0.366216	0.469809	-0.100061	1.17011
chr1	18968389	19413948	UBR4,EMC1-AS1,EMC1,MRTO4,AKR7L,AKR7A3,LOC100506730,AKR7A2,SLC66A1,CAPZB	-0.0247262	0.401923	2	1	1	31.9434	626	531.515	0.0123587	-0.0478019	-0.00312294	-0.567367	0.627953
chr1	19413948	19470348	CAPZB	0.368432	0.363636	3	2	1	40.2467	80	67.4447	0.0319884	0.321858	0.424414	-0.105414	0.929796
chr1	19470348	19759397	CAPZB,LOC105378614,MICOS10-NBL1,HTR6,TMCO4	-0.123646	0.37931	2	1	1	31.2958	402	331.08	0.0176974	-0.156403	-0.0914124	-0.710048	0.526219
chr1	19759397	20265586	TMCO4,RNF186,OTUD3,PLA2G2E,PLA2G2A,PLA2G5,PLA2G2D,PLA2G2F,LOC117779438,PLA2G2C,UBXN10,LINC01757	0.0132691	0.391304	2	1	1	32.8738	705	574.364	0.0118463	-0.0112979	0.0379593	-0.561094	0.585748
chr1	20265586	20575081	VWA5B1,LINC01141,CAMK2N1,MUL1,FAM43B	-0.172664	0.363636	2	1	1	27.3046	432	344.695	0.0168358	-0.209941	-0.136343	-0.812391	0.51314
chr1	20575081	21179265	CDA,PINK1,DDOST,KIF17,KIF17,SH2D5,HP1BP3,EIF4G3	0.0669063	0.612903	2	1	1	38.3412	822	689.022	0.0105741	0.0451764	0.0846736	-0.49363	0.659566
chr1	21179970	21234255	ECE1	-0.139497	0.98	2	2	0	32.842	77	62.7001	0.0305259	-0.198694	-0.0932412	-0.662813	0.261342
chr1	21234255	21347759	ECE1	0.465879	0.424879	3	2	1	44.4596	158	130.931	0.021659	0.429811	0.506844	-0.0538737	0.988931
chr1	21347759	21894838	NBPF3,ALPL,RAP1GAP,USP48,LDLRAD2,HSPG2	-0.0618471	0.384615	2	1	1	32.9373	758	633.451	0.0117727	-0.0832435	-0.0423257	-0.64825	0.607386
chr1	21894838	21962518	HSPG2	0.422268	0.414634	3	2	1	45.3763	93	74.5683	0.0301658	0.364091	0.482341	-0.119385	0.866371
chr1	21962518	22022443	CELA3B,CELA3A	-0.392592	0.380952	1	1	0	26.7952	79	62.711	0.0490988	-0.469364	-0.317497	-1.27181	0.201708
chr1	22022443	22100698	LINC01635,LINC00339,CDC42	0.15	0.424242	2	1	1	40.4443	107	87.1727	0.0263654	0.0997507	0.198531	-0.319653	0.718156
chr1	22100698	22257208	CDC42,WNT4	-0.208475	0.384615	2	1	1	26.9882	219	181.874	0.0190863	-0.242311	-0.173142	-0.779605	0.38318
chr1	22257208	22278358	MIR4418	0.221279	0.594595	3	2	1	42.175	30	24.9543	0.0596433	0.109383	0.356333	-0.284218	0.810262
chr1	22278358	22405258	-	-0.208668	0.381653	2	1	1	27.4592	180	149.637	0.0226289	-0.247008	-0.167855	-0.811866	0.233004
chr1	22405258	22509597	ZBTB40	-0.00112256	0.40625	2	1	1	33.9414	146	126.096	0.0214526	-0.0389534	0.0366853	-0.445322	0.490725
chr1	22509597	22782432	ZBTB40,EPHA8,MIR6127,C1QA,C1QC,C1QB,EPHB2	-0.241647	0.375	2	1	1	25.4469	379	303.046	0.0163638	-0.273323	-0.212816	-0.794379	0.301039
chr1	22782432	22866327	EPHB2	0.0710417	0.384725	2	1	1	35.2355	118	102.591	0.0253496	0.0232438	0.106419	-0.496353	0.508279
chr1	22866327	23005916	EPHB2,LACTBL1	-0.218526	0.377976	2	1	1	27.8781	192	158.973	0.0188094	-0.247803	-0.179322	-0.717827	0.369024
chr1	23005916	23082056	TEX46,KDM1A	0.00301481	0.4	2	1	1	35.2869	106	92.8617	0.0202452	-0.0282408	0.0405564	-0.38205	0.460308
chr1	23082056	23199086	KDM1A,LUZP1,HTR1D	0.242336	0.573558	3	2	1	42.1223	162	131.813	0.0231421	0.193732	0.295202	-0.326201	0.723837
chr1	23199086	23277341	HTR1D	-0.119039	0.404255	2	1	1	33.0682	109	89.1225	0.0270634	-0.169565	-0.0646543	-0.73762	0.407565
chr1	23277341	23602345	LINC01355,HNRNPR,ZNF436,ZNF436-AS1,TCEA3,ASAP3,E2F2,ID3	0.322081	0.428571	3	2	1	46.2868	425	340.745	0.0150303	0.299191	0.345984	-0.247353	0.97228
chr1	23602345	23772250	MDS2,RPL11,ELOA,ELOA-AS1	-0.0343664	0.4	2	1	1	34.1383	236	185.896	0.0225574	-0.0763936	0.00791206	-0.748284	0.612951
chr1	23772250	23805385	ELOA-AS1,PITHD1,LYPLA2,GALE,HMGCL	0.395498	0.340909	3	2	1	46.5351	45	39.1212	0.0432523	0.311395	0.477172	-0.10317	0.938698
chr1	23805385	23951320	HMGCL,FUCA1,CNR2,MIR378F	-0.0544371	0.392857	2	1	1	34.4421	200	161.224	0.0196206	-0.087234	-0.0195596	-0.673066	0.448759
chr1	23951320	23983045	PNRC2,SRSF10	0.52149	0.55	3	2	1	53.925	40	33.0793	0.037432	0.449064	0.597854	0.205924	1.04782
chr1	23983045	24011245	-	0.0325294	0.424242	2	1	1	39.1713	38	29.8402	0.0543958	-0.0801228	0.165006	-0.596578	0.387894
chr1	24011245	24027460	-	0.620437	0.401692	3	2	1	62.9832	23	16.221	0.0790042	0.472778	0.773619	0.0245937	1.38592
chr1	24027460	24257994	MYOM3,IL22RA1,IFNLR1,LINC02800	-0.0818135	0.387993	2	1	1	31.1146	325	271.265	0.0182999	-0.116731	-0.0459218	-0.683572	0.760104
chr1	24257994	24422259	GRHL3,STPG1,NIPAL3	0.204175	0.432883	3	2	1	37.5899	221	182.906	0.0204361	0.15767	0.245649	-0.358118	0.847661
chr1	24422259	24542109	NIPAL3,RCAN3AS,RCAN3,NCMAP-DT	-0.0820915	0.407407	2	1	1	32.0746	167	144.66	0.0208963	-0.119874	-0.0396863	-0.641663	0.413964
chr1	24542109	24854423	NCMAP-DT,NCMAP,SRRM1,CLIC4	0.40305	0.435897	3	2	1	51.2199	407	306.277	0.0143529	0.374678	0.428212	-0.139682	0.99145
chr1	24854423	25230187	RUNX3,MIR4425,SYF2	-0.124079	0.375	2	1	1	28.7635	523	426.75	0.0144904	-0.146885	-0.0964853	-0.764534	0.496664
chr1	25230187	25256272	SYF2,RSRP1	0.56474	0.399035	3	2	1	58.1547	34	24.9103	0.0408912	0.475818	0.625159	0.147431	1.01078
chr1	25256272	25268257	RSRP1	0.0144963	0.392857	2	1	1	35.5436	17	14.3962	0.068075	-0.110462	0.139456	-0.61226	0.402605
chr1	25268257	25321837	RSRP1	-0.616661	0	1	1	0	18.4222	52	39.4591	0.0478565	-0.715903	-0.537814	-1.27041	0.0224194
chr1	25321837	26203086	RSRP1,TMEM50A,RHCE,MACO1,LDLRAP1,MAN1C1,MAN1C1,SELENON,MTFR1L,AUNIP,PAQR7,STMN1,PAFAH2,PAFAH2,EXTL1,SLC30A2,TRIM63,PDIK1L,-,FAM110D,C1orf232,ZNF593,CNKSR1,CNKSR1,CATSPER4	0.290916	0.425266	3	2	1	43.3749	1202	980.813	0.0098767	0.270552	0.310203	-0.387015	0.941336
chr1	26203086	26223531	-	-0.233819	0.39697	2	1	1	30.1659	29	23.8976	0.0452167	-0.319075	-0.156576	-0.622254	0.169611
chr1	26223531	26651465	ZPLD2P,CEP85,SH3BGRL3,UBXN11,CD52,CRYBG2,ZNF683,ZNF683,LIN28A,DHDDS,HMGN2,RPS6KA1,-	0.169529	0.428571	2	1	1	40.4252	583	458.529	0.0134982	0.146472	0.195195	-0.448374	0.796566
chr1	26651465	26690945	-	0.0207547	0.335165	2	1	1	38.2677	56	43.7863	0.0294205	-0.0494537	0.0710509	-0.43564	0.390908
chr1	26690945	26927824	LOC101928728,ARID1A,ARID1A,PIGV,ZDHHC18,SFN,GPN2,GPATCH3,NR0B2,NUDC	0.235514	0.424242	3	2	1	40.9269	322	260.157	0.0169429	0.209055	0.267604	-0.297653	0.949623
chr1	26927824	26996209	NUDC,KDF1,TRNP1	-0.0630817	0	2	2	0	33.9678	95	77.7786	0.0283868	-0.117296	-0.0185907	-0.621212	0.493317
chr1	26996209	27046264	TRNP1,TENT5B	0.49288	0.374419	3	2	1	52.3442	67	51.9241	0.0374253	0.421743	0.554087	-0.128519	1.05945
chr1	27046264	27095614	-	-0.0980778	0.40625	2	1	1	33.0055	68	52.8033	0.0338525	-0.166054	-0.026276	-0.625474	0.467917
chr1	27095614	28786906	SLC9A1,WDTC1,TMEM222,SYTL1,MAP3K6,FCN3,CD164L2,GPR3,WASF2,AHDC1,FGR,LINC02574,IFI6,FAM76A,STX12,PPP1R8,THEMIS2,RPA2,SMPDL3B,XKR8,EYA3,PTAFR,DNAJC8,DNAJC8,ATP5IF1,SESN2,-,MED18,PHACTR4,RCC1,TRNAU1AP,SNHG12,RAB42,TAF12,LINC01715,GMEB1,YTHDF2	0.199554	0.423729	2	1	1	42.3848	2279	1769.33	0.00676029	0.186819	0.213685	-0.377401	0.853515
chr1	28786906	29156325	OPRD1,EPB41,TMEM200B,SRSF4	-0.172931	0.35	2	1	1	31.5827	511	422.788	0.0123428	-0.194534	-0.148379	-0.720209	0.40938
chr1	29156325	29243745	SRSF4,MECR,PTPRU	0.246343	0.44281	3	2	1	42.2135	119	95.4096	0.0313399	0.188167	0.30627	-0.451322	0.930125
chr1	29243745	30706618	PTPRU,LINC01756,LINC01648	-0.312296	0.3	1	1	0	23.8312	1978	1508.18	0.00727137	-0.322321	-0.299083	-0.924394	0.245962
chr1	30706618	31188132	MATN1,MATN1-AS1,LAPTM5,LINC01778,SDC3,PUM1,NKAIN1	0.0471818	0.407407	2	1	1	35.3779	659	520.491	0.011613	0.0209418	0.0677812	-0.573208	0.605734
chr1	31188132	31259337	NKAIN1	-0.341406	0.392857	1	1	0	26.6271	100	79.2414	0.0278903	-0.389702	-0.295382	-1.00406	0.114436
chr1	31259337	31462376	SNRNP40,ZCCHC17,FABP3,SERINC2	-0.0147579	0.391304	2	1	1	34.4963	285	241.133	0.0182721	-0.0482809	0.0235293	-0.521795	0.677804
chr1	31462376	31809941	LDC1P,LINC01226,TINAGL1,HCRTR1,PEF1,COL16A1,COL16A1,ADGRB2,SPOCD1	0.289901	0.42265	3	2	1	42.7476	473	392.41	0.0161627	0.259306	0.317221	-0.289103	1.07735
chr1	31809941	31906525	SPOCD1,PTP4A2	-0.15193	0.393939	2	1	1	31.6034	136	112.036	0.0267011	-0.202691	-0.100348	-0.723838	0.358219
chr1	31906525	31971385	PTP4A2,-	0.425	0.447368	3	2	1	51.225	84	65.1788	0.0360285	0.340315	0.48819	-0.190373	0.993361
chr1	31971385	32003815	-	-0.22911	0.384615	2	1	1	30.0279	45	38.6205	0.0297664	-0.292372	-0.17113	-0.668988	0.0702096
chr1	32003815	32252680	KHDRBS1,TMEM39B,KPNA6,TXLNA,CCDC28B,IQCC,DCDC2B,TMEM234,EIF3I,MTMR9LP,FAM167B,LCK	0.177748	0.423077	2	1	1	40.7483	334	260.629	0.0165203	0.145628	0.220429	-0.359981	0.804471
chr1	32252680	32326000	LCK,HDAC1	-0.0587771	0.393939	2	1	1	35.0113	98	78.1962	0.0290019	-0.115314	-0.00925428	-0.615148	0.446111
chr1	32326000	32421175	HDAC1,MARCKSL1,FAM229A,TSSK3,BSDC1	0.122031	0.583333	2	1	1	37.1027	131	108.397	0.0252043	0.0706886	0.162786	-0.368963	0.739573
chr1	32421175	32494494	-,ZBTB8B	-0.134333	0.359487	2	1	1	31.6001	104	84.1879	0.0266106	-0.194568	-0.0869472	-0.60873	0.353826
chr1	32494494	32506479	ZBTB8B	0.423215	0.428571	3	2	1	49.7674	17	13.883	0.0542378	0.319435	0.528009	0.085834	0.813255
chr1	32506479	32741244	ZBTB8A,ZBTB8OS,RBBP4,SYNC	-0.0562453	0.419355	2	1	1	36.3935	321	242.774	0.0153308	-0.0887086	-0.0280419	-0.629655	0.421717
chr1	32742654	33183983	KIAA1522,YARS1,YARS1,S100PBP,FNDC5,HPCA,TMEM54,RNF19B,AK2,AZIN2,TRIM62	0.0910594	0.411765	2	1	1	37.3788	606	499.904	0.0132606	0.0691335	0.116403	-0.47028	0.740935
chr1	33183983	33218528	-	-0.0721466	0.406038	2	1	1	34.6228	43	35.7808	0.0432461	-0.148647	0.0163406	-0.619794	0.263933
chr1	33218528	33476558	ZNF362,ZNF362,A3GALT2,PHC2,PHC2,PHC2,ZSCAN20	0.170905	0.422065	2	1	1	37.2152	354	302.439	0.018268	0.137246	0.201697	-0.415182	0.915529
chr1	33476558	34755425	ZSCAN20,CSMD2,C1orf94,MIR552,GJB5	-0.333324	0.285714	1	1	0	23.6148	1741	1369.74	0.00735241	-0.344534	-0.31901	-0.917205	0.209421
