chromosome	start	end	gene	log2	cn	depth	probes	weight	sem	ci_lo	ci_hi	pi_lo	pi_hi
chr1	7944804	8730855	PARK7,ERRFI1,LINC01714,SLC45A1,RERE	0.101148	2	43.802	1083	883.323	0.00804612	0.0852089	0.121011	-0.412017	0.626435
chr1	8730855	10376276	RERE,ENO1,ENO1-AS1,CA6,CA6,SLC2A7,SLC2A5,GPR157,MIR34AHG,LNCTAM34A,H6PD,SPSB1,LINC02606,-,SLC25A33,TMEM201,PIK3CD,PIK3CD,CLSTN1,CTNNBIP1,LZIC,NMNAT1,RBP7,UBE4B,KIF1B	-0.145488	2	35.3252	2278	1854.81	0.00677543	-0.157808	-0.132551	-0.771101	0.425484
chr1	10376276	10798558	KIF1B,PGD,CENPS-CORT,DFFA,PEX14,CASZ1	-0.00682769	2	36.789	587	494.105	0.0133202	-0.0320297	0.0130577	-0.638701	0.623157
chr1	10798558	11784824	C1orf127,TARDBP,MASP2,SRM,EXOSC10,EXOSC10-AS1,MTOR,UBIAD1,UBIAD1,DISP3,LINC01647,FBXO2,FBXO44,FBXO6,MAD2L2,DRAXIN,AGTRAP,C1orf167	-0.214872	2	31.1337	1361	1090.48	0.00942337	-0.233454	-0.196655	-0.885159	0.46578
chr1	11784824	11844747	C1orf167,MTHFR,CLCN6,NPPA-AS1	0.0972321	2	39.7665	83	71.9755	0.0326092	0.0447277	0.156416	-0.392084	0.763869
chr1	11844747	11974463	NPPA-AS1,NPPB,RNU5E-1,KIAA2013,PLOD1	-0.215585	2	32.6542	180	145.354	0.0269017	-0.257343	-0.153902	-0.852569	0.493659
chr1	11974463	12025221	PLOD1,MFN2,MIIP	0.0913362	2	41.7037	66	51.119	0.0414177	-0.000115405	0.175602	-0.634044	0.64883
chr1	12025221	12124623	MIIP,TNFRSF8	-0.256473	1	30.8944	140	118.12	0.0267186	-0.29674	-0.200122	-0.869895	0.286255
chr1	12124623	12186662	TNFRSF8,TNFRSF1B	0.285527	3	49.2163	84	69.1698	0.0320784	0.227856	0.346969	-0.277881	1.00277
chr1	12186662	12401680	TNFRSF1B,VPS13D	-0.0645231	2	36.229	299	259.335	0.0150319	-0.0965725	-0.0327264	-0.585733	0.41948
chr1	12401680	12624453	VPS13D,DHRS3	0.219777	3	44.9451	309	266.394	0.0150014	0.190184	0.249539	-0.386677	0.705898
chr1	12624453	13717799	AADACL4,AADACL3,C1orf158,PRAMEF12,PRAMEF1,LINC01784,PRAMEF11,HNRNPCL1,PRAMEF2,PRAMEF4,PRAMEF10,PRAMEF7,PRAMEF6,PRAMEF27,HNRNPCL3,PRAMEF26,PRAMEF26,PRAMEF36P,HNRNPCL2,PRAMEF25,HNRNPCL3,PRAMEF27,PRAMEF13,PRAMEF18,PRAMEF18,PRAMEF5,PRAMEF8,PRAMEF33,PRAMEF15,PRAMEF14,PRAMEF19,PRAMEF17,PRAMEF20,LRRC38,PDPN,PRDM2	-0.293001	1	29.7845	1388	1130.31	0.0094995	-0.310572	-0.278999	-1.04743	0.346165
chr1	13717799	13810148	PRDM2	0.113697	2	39.9432	131	116.487	0.019651	0.0755779	0.149382	-0.264271	0.494836
chr1	13810148	14876042	PRDM2,KAZN-AS1,KAZN,KAZN	-0.166619	2	30.3008	1475	1189.5	0.00740468	-0.181569	-0.150034	-0.778726	0.353276
chr1	14876042	15029723	KAZN	0.183006	2	43.6906	210	174.246	0.0197212	0.143639	0.226843	-0.415867	0.66189
chr1	15029723	16143553	KAZN,TMEM51-AS1,TMEM51,FHAD1,EFHD2,CTRC,CELA2A,CELA2B,CASP9,DNAJC16,AGMAT,DDI2,PLEKHM2,SLC25A34,SLC25A34-AS1,FBLIM1,UQCRHL,FLJ37453,SPEN,ZBTB17,SRARP,HSPB7,CLCNKA,CLCNKB,FAM131C,EPHA2	-0.0361179	2	37.2151	1536	1252.64	0.00771309	-0.0500804	-0.0205612	-0.644482	0.536451
chr1	16143553	16184441	EPHA2	0.259013	3	48.6932	55	42.4476	0.0394266	0.179004	0.331196	-0.372678	0.647923
chr1	16184441	16505901	ARHGEF19,CPLANE2,FBXO42,FBXO42,SZRD1,SPATA21,NECAP2,LINC01772,CROCCP3	-0.123715	2	36.2877	443	352.763	0.0153427	-0.153925	-0.0937689	-0.775088	0.453437
chr1	16505901	16761095	RNU1-4,LINC01783,MIR3675,NBPF1,CROCCP2,MST1P2,ESPNP,MST1L	0.314926	3	53.137	263	203.007	0.0236284	0.268935	0.3568	-0.50136	1.02365
chr1	16761095	16849867	MST1L	-0.165333	2	28.7874	51	37.3189	0.0516144	-0.253273	-0.0597702	-1.03507	0.536124
chr1	16849867	16961257	MIR3675,LOC112267871,LOC105376805,CROCC	0.31475	3	53.3085	131	94.4588	0.029459	0.240456	0.364145	-0.374303	0.819078
chr1	16961257	18866869	CROCC,MFAP2,ATP13A2,SDHB,PADI2,LINC02783,PADI1,PADI3,PADI4,PADI6,RCC2,ARHGEF10L,ACTL8,LINC01654,IGSF21,KLHDC7A,PAX7,TAS1R2	-0.219307	2	29.1473	2644	2047.76	0.00630602	-0.227973	-0.205707	-0.859993	0.388673
chr1	18866869	18965569	ALDH4A1,IFFO2	0.147969	2	40.3841	136	118.782	0.0258479	0.104545	0.181001	-0.467249	0.747356
chr1	18965569	19072024	-	-0.153827	2	32.9743	150	128.764	0.0217445	-0.19041	-0.110111	-0.70362	0.321729
chr1	19072024	19215138	UBR4,EMC1-AS1	0.0534443	2	36.7777	201	174.225	0.0182382	0.0259967	0.0940085	-0.392193	0.583002
chr1	19215138	19338513	EMC1-AS1,EMC1,MRTO4,AKR7L,AKR7A3,LOC100506730,AKR7A2,SLC66A1	-0.146935	2	33.2611	172	145.171	0.0215314	-0.185172	-0.107692	-0.700102	0.395435
chr1	19338513	19490088	CAPZB	0.044355	2	35.3591	214	177.526	0.0212594	0.00444689	0.093657	-0.625109	0.58341
chr1	19490088	19754462	LOC105378614,MICOS10-NBL1,HTR6,TMCO4	-0.194874	2	32.6427	368	304.156	0.0165553	-0.222891	-0.168505	-0.811538	0.402769
chr1	19754462	19932827	TMCO4,RNF186,OTUD3,PLA2G2E	-0.00680266	2	37.6965	250	202.929	0.0180128	-0.0390553	0.022038	-0.598811	0.573459
chr1	19932827	20588476	PLA2G2A,PLA2G5,PLA2G2D,PLA2G2F,LOC117779438,PLA2G2C,UBXN10,LINC01757,VWA5B1,LINC01141,CAMK2N1,MUL1,FAM43B	-0.140316	2	31.1279	913	739.521	0.00986063	-0.157179	-0.121751	-0.753794	0.43423
chr1	20588476	20793630	CDA,PINK1,DDOST,KIF17,SH2D5,HP1BP3	0.0290614	2	41.0222	283	225.211	0.0183524	0.00202459	0.0668916	-0.619406	0.59077
chr1	20793630	21234960	EIF4G3,ECE1	-0.12064	2	38.4512	598	514.048	0.0105	-0.140172	-0.104811	-0.670996	0.323354
chr1	21234960	21347759	ECE1	0.0657297	2	36.9477	157	130.286	0.0230019	0.0326598	0.102014	-0.545317	0.599715
chr1	21347759	23333741	NBPF3,ALPL,RAP1GAP,USP48,LDLRAD2,HSPG2,CELA3B,CELA3B,CELA3A,LINC01635,LINC00339,CDC42,WNT4,MIR4418,ZBTB40,EPHA8,MIR6127,C1QA,C1QC,C1QB,EPHB2,LACTBL1,TEX46,KDM1A,KDM1A,LUZP1,HTR1D,LINC01355,HNRNPR	-0.110908	2	34.5531	2751	2289.39	0.00592951	-0.122644	-0.0989528	-0.780104	0.442346
chr1	23334446	23603050	HNRNPR,ZNF436,ZNF436-AS1,TCEA3,ASAP3,E2F2,ID3	0.114189	2	43.602	353	277.255	0.0152808	0.0814007	0.144218	-0.481963	0.635913
chr1	23603050	23946385	MDS2,RPL11,ELOA,ELOA-AS1,PITHD1,LYPLA2,GALE,HMGCL,FUCA1,CNR2,MIR378F	-0.098124	2	36.3186	474	381.122	0.014668	-0.126001	-0.0748844	-0.773066	0.490752
chr1	23946385	24027460	PNRC2,SRSF10	0.113262	2	46.7452	107	84.5754	0.027771	0.0738153	0.171382	-0.399827	0.620658
chr1	24027460	24250944	MYOM3,IL22RA1,IFNLR1,LINC02800	-0.150916	2	32.7042	315	264.204	0.0185757	-0.188578	-0.113329	-0.734569	0.56614
chr1	24250944	24422259	GRHL3,STPG1,NIPAL3	0.120051	2	38.8184	231	191.055	0.0177959	0.0938344	0.164041	-0.446352	0.623253
chr1	24422259	24532239	NIPAL3,RCAN3AS,RCAN3	-0.0841085	2	35.6833	154	133.663	0.0234461	-0.125764	-0.0377485	-0.658665	0.408797
chr1	24532944	24755018	RCAN3,NCMAP-DT,NCMAP,SRRM1,CLIC4	0.144972	2	46.955	285	209.945	0.0146883	0.119952	0.166997	-0.336947	0.617633
chr1	24755018	25539682	CLIC4,RUNX3,MIR4425,SYF2,RSRP1,RSRP1,RSRP1,TMEM50A,RHCE,MACO1	-0.116045	2	34.4742	1056	861.296	0.0102396	-0.133316	-0.100618	-0.833119	0.497317
chr1	25539682	25927431	LDLRAP1,MAN1C1,SELENON,MTFR1L,AUNIP,PAQR7,STMN1	0.142717	2	41.8663	531	442.022	0.0112538	0.118357	0.162376	-0.40827	0.581066
chr1	25927431	25989471	PAFAH2	-0.117252	2	34.1296	87	73.0906	0.0307979	-0.172529	-0.0778837	-0.622723	0.446487
chr1	25989471	26179821	PAFAH2,EXTL1,SLC30A2,TRIM63,PDIK1L,FAM110D,C1orf232,ZNF593,CNKSR1	0.174489	2	47.0682	256	194.788	0.0167517	0.150647	0.205041	-0.369575	0.690807
chr1	26179821	27485478	CNKSR1,CATSPER4,ZPLD2P,CEP85,SH3BGRL3,UBXN11,CD52,CRYBG2,ZNF683,LIN28A,DHDDS,HMGN2,RPS6KA1,LOC101928728,ARID1A,PIGV,ZDHHC18,SFN,GPN2,GPATCH3,NR0B2,NUDC,KDF1,TRNP1,TENT5B,SLC9A1,WDTC1,TMEM222,SYTL1,MAP3K6,FCN3,CD164L2,GPR3,WASF2	-0.0452367	2	38.2313	1789	1427.82	0.00737419	-0.0566303	-0.0268722	-0.663886	0.505936
chr1	27485478	27618723	WASF2,AHDC1,FGR	0.128956	2	41.8765	177	150.889	0.017089	0.104286	0.16484	-0.354193	0.548409
chr1	27618723	29156325	FGR,LINC02574,IFI6,FAM76A,STX12,PPP1R8,THEMIS2,RPA2,SMPDL3B,XKR8,EYA3,PTAFR,DNAJC8,ATP5IF1,SESN2,MED18,PHACTR4,PHACTR4,RCC1,TRNAU1AP,SNHG12,RAB42,TAF12,LINC01715,GMEB1,YTHDF2,OPRD1,EPB41,TMEM200B,SRSF4	-0.0852647	2	38.8852	2077	1617.53	0.00640808	-0.0976417	-0.0739962	-0.669795	0.480034
chr1	29156325	29246565	SRSF4,MECR,PTPRU	0.0855149	2	40.8355	123	98.9939	0.0241938	0.0424565	0.12257	-0.434933	0.651924
chr1	29246565	31414436	PTPRU,LINC01756,LINC01756,LINC01648,MATN1,MATN1-AS1,LAPTM5,LINC01778,SDC3,PUM1,NKAIN1,NKAIN1,SNRNP40,SNRNP40,ZCCHC17,FABP3,SERINC2	-0.163424	2	30.8839	2952	2295.74	0.00549419	-0.175373	-0.153879	-0.770649	0.381336
chr1	31414436	31685156	SERINC2,LDC1P,LINC01226,TINAGL1,HCRTR1,PEF1,COL16A1	0.186468	2	45.4727	366	301.338	0.0140535	0.152536	0.211583	-0.294715	0.70409
chr1	31685156	31816286	COL16A1,ADGRB2,SPOCD1	0.00292077	2	34.6027	182	155.99	0.01935	-0.0304655	0.0437476	-0.519617	0.582334
chr1	31816286	31917100	PTP4A2	-0.223171	2	33.9374	142	117.944	0.0260487	-0.273523	-0.180344	-0.880976	0.303918
chr1	31917100	31962220	PTP4A2	0.212569	3	49.2809	56	41.7814	0.0323354	0.1544	0.270885	-0.369902	0.673781
chr1	31962220	32170195	KHDRBS1,TMEM39B,KPNA6	-0.146958	2	36.8574	278	219.234	0.0164396	-0.173754	-0.114853	-0.70463	0.367369
chr1	32170195	32224480	KPNA6,TXLNA,CCDC28B,IQCC,DCDC2B,TMEM234,EIF3I	0.104493	2	39.0523	74	61.3701	0.0341356	0.0392384	0.176052	-0.394617	0.685731
chr1	32224480	32881539	EIF3I,MTMR9LP,FAM167B,LCK,HDAC1,MARCKSL1,FAM229A,TSSK3,BSDC1,ZBTB8B,ZBTB8A,ZBTB8OS,RBBP4,SYNC,KIAA1522,YARS1,S100PBP,FNDC5	-0.12958	2	36.6451	900	710.187	0.00988722	-0.150311	-0.113309	-0.703185	0.458691
chr1	32881539	33015488	HPCA,TMEM54,RNF19B,AK2	0.056741	2	40.0381	183	148.33	0.0190249	0.0163376	0.0870438	-0.58552	0.5284
chr1	33015488	33119123	AK2,AZIN2	-0.0826478	2	35.5284	143	123.69	0.0221002	-0.128697	-0.0375127	-0.581947	0.42808
chr1	33119123	33446243	AZIN2,TRIM62,ZNF362,A3GALT2,PHC2	0.11111	2	40.2438	445	381.455	0.0135044	0.0864263	0.137462	-0.500481	0.603586
chr1	33446243	34739210	ZSCAN20,CSMD2,C1orf94,MIR552	-0.155126	2	29.6212	1761	1389.83	0.0065126	-0.170537	-0.14183	-0.735457	0.357163
chr1	34739210	34893605	GJB5,GJB4,GJB3,GJA4,SMIM12,DLGAP3	0.00916508	2	34.8967	215	180.062	0.0189443	-0.0244326	0.0404113	-0.57965	0.526091
chr1	34893605	36300078	DLGAP3,LOC653160,TMEM35B,ZMYM6,ZMYM1,SFPQ,ZMYM4,KIAA0319L,NCDN,TFAP2E,PSMB2,C1orf216,C1orf216,CLSPN,AGO4,AGO1,AGO3,TEKT2,ADPRS,COL8A2,TRAPPC3,MAP7D1,THRAP3	-0.0864461	2	38.2917	1921	1571.9	0.00620178	-0.0983406	-0.0759352	-0.657563	0.398832
chr1	36300078	36492542	THRAP3,SH3D21,EVA1B,STK40,LSM10,OSCP1,MRPS15,CSF3R	0.237014	3	48.0832	249	195.89	0.0154367	0.206003	0.269073	-0.279471	0.622452
chr1	36492542	37446405	GRIK3,MIR4255	-0.206246	2	27.7351	1299	962.828	0.00851861	-0.224966	-0.19036	-0.801518	0.414639
chr1	37446405	37614900	LINC01137,ZC3H12A,MEAF6,SNIP1,DNALI1,GNL2,RSPO1	0.0262152	2	40.2286	237	196.224	0.0195234	-0.00652383	0.0631592	-0.517333	0.582144
chr1	37614900	37799610	RSPO1,C1orf109,CDCA8,EPHA10,MANEAL	-0.216748	2	30.2828	258	212.021	0.0203661	-0.25615	-0.185349	-0.82569	0.425698
chr1	37799610	38052704	MANEAL,YRDC,C1orf122,MTF1,INPP5B,SF3A3,FHL3,UTP11,POU3F1,MIR3659HG	0.000291555	2	38.7251	339	269.332	0.0148248	-0.033624	0.0246167	-0.628711	0.45829
chr1	38052704	39925886	MIR3659HG,LINC01343,LINC01685,RRAGC,GJA9-MYCBP,RHBDL2,AKIRIN1,NDUFS5,MACF1,BMP8A,PPIEL,PABPC4,HEYL,NT5C1A,HPCAL4,PPIE,BMP8B,LOC101929536,TRIT1,MYCL	-0.0843086	2	34.8352	2579	2063.56	0.00561366	-0.0926959	-0.0715224	-0.682513	0.434825
chr1	39925886	40045736	MFSD2A,CAP1	0.182237	2	49.0848	159	110.933	0.0189131	0.140005	0.222029	-0.293849	0.672987
chr1	40045736	40361575	CAP1,PPT1,RLF,TMCO2,ZMPSTE24,COL9A2,-	-0.0591972	2	39.099	441	370.922	0.0136863	-0.0767746	-0.0409618	-0.647177	0.505945
chr1	40361575	40425730	SMAP2	0.117472	2	41.6048	82	72.8861	0.0225301	0.0746703	0.157092	-0.226177	0.448865
chr1	40425730	41318259	ZFP69B,ZFP69,EXO5,ZNF684,RIMS3,RIMS3,NFYC-AS1,NFYC,KCNQ4,CITED4,CTPS1,SLFNL1-AS1,SCMH1	-0.0547631	2	36.7744	1221	1027.43	0.00791694	-0.0689439	-0.040641	-0.630399	0.44515
chr1	41318259	41526233	FOXO6,EDN2,HIVEP3	0.166702	2	40.8214	284	245.033	0.0175403	0.136965	0.197686	-0.439536	0.698047
chr1	41526233	42143107	HIVEP3	-0.0242047	2	33.9845	836	697.948	0.0100515	-0.0447962	-0.00708654	-0.656476	0.478819
chr1	42143107	42231937	GUCA2B,GUCA2A,FOXJ3	0.185337	2	48.2567	122	103.806	0.0178597	0.156773	0.223411	-0.211227	0.576161
chr1	42234052	42542841	FOXJ3,RIMKLA,ZMYND12,CCDC30	-0.00397845	2	40.6549	420	362.682	0.0117847	-0.0234742	0.0175623	-0.531673	0.476299
chr1	42542841	42656346	CCDC30	-0.172628	2	35.9404	154	130.536	0.0202244	-0.209336	-0.139693	-0.731404	0.267057
chr1	42656346	43078640	CCDC30,PPIH,YBX1,CLDN19,P3H1,C1orf50,TMEM269-DT,TMEM269,SVBP,ERMAP,ZNF691,LOC339539,-,SLC2A1,SLC2A1-AS1	0.105249	2	42.4964	583	482.985	0.0115099	0.0881143	0.128252	-0.491188	0.600749
chr1	43078640	43113890	-	-0.237123	2	35.3084	46	38.6052	0.0408431	-0.314307	-0.174111	-0.7032	0.247153
chr1	43113890	43604569	FAM183A,EBNA1BP2,CFAP57,TMEM125,C1orf210,TIE1,MPL,CDC20,ELOVL1,MED8,SZT2,PTPRF	0.0917392	2	40.5442	676	571.684	0.0104047	0.0677816	0.11092	-0.454559	0.584957
chr1	43604569	43759669	PTPRF,KDM4A,KDM4A-AS1,ST3GAL3	-0.0599127	2	36.2303	214	172.093	0.0185825	-0.105269	-0.0195632	-0.543599	0.443368
chr1	43759669	44038144	ST3GAL3,ARTN,IPO13,DPH2,ATP6V0B,B4GALT2,CCDC24,SLC6A9	0.135013	2	41.5204	385	330.563	0.0129402	0.115139	0.156296	-0.383068	0.627941
chr1	44038144	44209458	KLF17,KLF18	-0.187415	2	34.3346	240	202.079	0.0169702	-0.218037	-0.161994	-0.726186	0.321546
chr1	44209458	44367378	DMAP1,ERI3	0.0695267	2	34.6533	223	189.675	0.0189336	0.0330116	0.106638	-0.558094	0.568275
chr1	44367378	44670527	RNF220,TMEM53	-0.0845619	2	33.3774	426	353.916	0.0141027	-0.112966	-0.0624095	-0.621897	0.460202
chr1	44670527	44851007	TMEM53,ARMH1,RNU5D-1,KIF2C,RPS8,BEST4,PLK3,TCTEX1D4,BTBD19,PTCH2,EIF2B3	0.0816842	2	41.1003	234	181.938	0.022075	0.042095	0.12773	-0.564677	0.646706
chr1	44851007	45008222	EIF2B3,HECTD3	-0.174668	2	35.672	216	181.514	0.0179013	-0.21123	-0.141038	-0.661652	0.376955
chr1	45008222	45021617	HECTD3,UROD,ZSWIM5	0.253223	3	39.8839	19	16.2622	0.0516437	0.129596	0.354713	-0.307796	0.45388
chr1	45021617	45296566	ZSWIM5	-0.186724	2	35.8031	354	303.758	0.0136728	-0.210746	-0.1656	-0.695861	0.261555
chr1	45296566	45307141	LINC01144	0.303325	3	43.131	14	10.9249	0.0481157	0.204723	0.392601	0.00995217	0.592753
chr1	45307141	45326881	-	-0.158345	2	37.4067	26	22.0032	0.0429454	-0.21587	-0.0821415	-0.617973	0.131258
chr1	45326881	45354376	HPDL,MUTYH,TOE1,TESK2	0.241542	3	44.8554	39	34.3885	0.0398647	0.163918	0.31196	-0.30791	0.745604
chr1	45354376	45488326	TESK2	-0.0982395	2	40.2942	183	145.422	0.0189523	-0.136969	-0.0627962	-0.616817	0.297122
chr1	45488326	45762571	TESK2,CCDC163,MMACHC,PRDX1,AKR1A1,NASP,CCDC17,GPBP1L1,TMEM69,IPP	0.0427192	2	42.8715	366	282.217	0.0127261	0.0188499	0.0647905	-0.501473	0.434725
chr1	45762571	46581779	MAST2,P3R3URF-PIK3R3,TSPAN1,POMGNT1,LURAP1,RAD54L,LRRC41,UQCRH,NSUN4,FAAH,FAAHP1,LINC01398,DMBX1,TMEM275,MKNK1-AS1,MKNK1	-0.07084	2	36.8099	1128	928.976	0.00828974	-0.0832056	-0.0552811	-0.662382	0.432067
chr1	46581779	46816544	MKNK1,MOB3C,ATPAF1,TEX38,EFCAB14-AS1,EFCAB14,CYP4B1	0.0618986	2	38.9185	309	269.817	0.0152722	0.03457	0.0902459	-0.493065	0.528764
chr1	46816544	51210096	CYP4B1,CYP4Z2P,CYP4A11,CYP4X1,CYP4Z1,CYP4A22,LINC00853,PDZK1IP1,TAL1,STIL,CMPK1,LINC01389,FOXD2,TRABD2B,SKINT1L,SLC5A9,SPATA6,AGBL4,ELAVL4,DMRTA2,FAF1,CDKN2C,MIR4421,MIR6500,C1orf185,LINC01562	-0.0623033	2	36.3925	5749	4868.53	0.00347014	-0.0688784	-0.0570238	-0.656837	0.406317
chr1	51210096	51244641	LINC01562,RNF11	0.171917	2	47.7298	48	37.0986	0.0361056	0.114204	0.236244	-0.427056	0.647543
chr1	51244641	52340914	RNF11,TTC39A,EPS15,CALR4P,OSBPL9,NRDC,RAB3B,TXNDC12,BTF3L4,ZFYVE9	-0.0157103	2	41.0911	1487	1249.48	0.00627214	-0.0299437	-0.00438249	-0.532955	0.433758
chr1	52340914	52492488	ZFYVE9,CC2D1B,ORC1,PRPF38A,TUT4	0.0842142	2	43.3617	208	175.146	0.0180431	0.0570136	0.116423	-0.359029	0.583698
chr1	52492488	53038862	TUT4,GPX7,SHISAL2A,COA7,ZYG11B,ZYG11A,ECHDC2,SCP2	-0.091895	2	39.1167	747	607.294	0.0099621	-0.10711	-0.075008	-0.662939	0.391524
chr1	53038862	53396297	SCP2,PODN,SLC1A7,CPT2,CZIB,MAGOH,LOC100507564,LRP8,LINC01771	0.0852376	2	38.3184	500	437.046	0.0124071	0.0640437	0.10866	-0.407573	0.707249
chr1	53396297	53884156	SLC25A3P1,DMRTB1,GLIS1,NDC1,YIPF1	-0.0607375	2	34.1069	685	574.95	0.0105812	-0.0802738	-0.0356764	-0.605833	0.454323
chr1	53884156	53968756	YIPF1,DIO1,HSPB11,LRRC42	0.133932	2	44.1945	114	96.6407	0.0245097	0.0892661	0.176433	-0.355328	0.590559
chr1	53968756	54214800	LDLRAD1,TMEM59,TCEANC2,CDCP2,CYB5RL,MRPL37	-0.0504483	2	36.0011	343	291.237	0.0161241	-0.080728	-0.0230281	-0.688817	0.599274
chr1	54214800	54416430	MRPL37,SSBP3	0.120897	2	37.3886	282	242.454	0.0168144	0.0899796	0.147617	-0.425023	0.660332
chr1	54416430	54713234	ACOT11,MROH7-TTC4	-0.16305	2	33.3019	408	334.671	0.0162545	-0.195363	-0.132831	-0.81155	0.44141
chr1	54713234	56592761	MROH7-TTC4,PARS2,TTC22,LEXM,DHCR24,TMEM61,BSND,PCSK9,USP24,LOC100507634,MIR4422HG,LINC01753,LINC01755,LINC01767,PLPP3	0.0829787	2	40.3549	2546	2252.32	0.00498683	0.0736508	0.09055	-0.476466	0.523123
chr1	56592761	58499783	LOC101929935,PRKAA2,FYB2,C8A,C8B,DAB1	-0.0626738	2	34.0122	2606	2270.57	0.00469295	-0.0734501	-0.0528848	-0.616903	0.336021
chr1	58499783	60160760	DAB1,TACSTD2,MYSM1,JUN,LINC01135,LINC01358,HSD52,FGGY,LOC101926944,HOOK1,CYP2J2,C1orf87	0.0726129	2	39.2128	2209	1964.79	0.00535165	0.0632951	0.0811217	-0.502264	0.526847
chr1	60160760	60846723	LINC01748,LOC101926964	-0.0351531	2	37.4786	877	786.261	0.00836065	-0.048976	-0.0236226	-0.622616	0.372735
chr1	60847428	61533392	NFIA-AS2,NFIA,NFIA	0.139611	2	42.8199	938	850.734	0.00770368	0.126633	0.153845	-0.338719	0.58329
chr1	61533392	62174941	MGC34796,TM2D1,PATJ	-0.0606397	2	39.0005	872	743.137	0.00888346	-0.0787227	-0.0416369	-0.599622	0.391741
